uid	iid	label	sequence
6775	3296	1	815,3143,3307,3149
6775	869	1	3143,3307,3149,3296
6618	714	1	1109,3406,1258,696
12781	750	1	556,1357,3261,3394
12781	786	1	1357,3261,3394,750
14461	3406	1	1339,779,782,250
4698	71	1	3285,506,185,132
11862	1022	1	440,908,822,3397
4698	82	1	506,185,132,71
4698	83	1	185,132,71,82
10708	808	1	751,3434,919,760
5985	1241	1	503,889,908,1079
5985	3702	1	889,908,1079,1241
12329	630	1	856,494,1118,1272
2144	25	1	503,519,1474,1468
3638	372	1	24,25,384,2589
3638	374	1	25,384,2589,372
3638	1376	1	384,2589,372,374
8234	272	1	32,205,226,227
14461	762	1	779,782,250,3406
4698	1472	1	132,71,82,83
5985	327	1	908,1079,1241,3702
6775	3128	1	3307,3149,3296,869
4698	510	1	71,82,83,1472
6618	1499	1	3406,1258,696,714
10708	1616	1	3434,919,760,808
12329	830	1	494,1118,1272,630
2524	3168	1	1167,514,1170,1196
14461	3477	1	782,250,3406,762
4698	1303	1	82,83,1472,510
3210	1300	1	126,1306,1008,1484
5194	708	1	7202,7203,50,327
6618	1446	1	1258,696,714,1499
9666	515	1	519,753,956,1412
9666	1410	1	753,956,1412,515
14461	1443	1	250,3406,762,3477
14461	781	1	3406,762,3477,1443
6775	1154	1	3149,3296,869,3128
8712	1641	1	1273,492,767,1459
700	692	1	919,3201,3380,3384
3638	1804	1	2589,372,374,1376
3638	1805	1	372,374,1376,1804
14461	926	1	762,3477,1443,781
11190	782	1	745,764,911,3274
12046	1688	1	636,1202,1220,1574
5985	1292	1	1079,1241,3702,327
5356	449	1	448,513,525,1118
11505	691	1	3406,1200,665,690
1596	1662	1	1468,3620,1737,674
1596	3052	1	3620,1737,674,1662
12556	785	1	319,514,630,764
12556	1274	1	514,630,764,785
12556	1276	1	630,764,785,1274
3638	368	1	374,1376,1804,1805
4704	472	1	748,856,1655,3262
4704	571	1	856,1655,3262,472
3638	520	1	1376,1804,1805,368
11133	2096	1	1113,251,575,576
8712	528	1	492,767,1459,1641
8712	1644	1	767,1459,1641,528
5985	532	1	1241,3702,327,1292
1568	666	1	381,679,680,691
13988	998	1	806,1635,500,630
8712	367	1	1459,1641,528,1644
6618	1685	1	696,714,1499,1446
10708	1829	1	919,760,808,1616
4698	24	1	83,1472,510,1303
4698	1038	1	1472,510,1303,24
4698	1101	1	510,1303,24,1038
4698	3611	1	1303,24,1038,1101
8712	1341	1	1641,528,1644,367
1596	524	1	1737,674,1662,3052
1596	525	1	674,1662,3052,524
1596	1351	1	1662,3052,524,525
8712	1288	1	528,1644,367,1341
8712	1972	1	1644,367,1341,1288
4698	513	1	24,1038,1101,3611
14461	809	1	3477,1443,781,926
14461	1682	1	1443,781,926,809
14461	1685	1	781,926,809,1682
14461	3677	1	926,809,1682,1685
3844	3681	1	1306,1592,3206,3625
13442	922	1	3250,1532,495,327
9666	837	1	956,1412,515,1410
6618	1180	1	714,1499,1446,1685
13727	925	1	1170,908,1553,1188
13727	1242	1	908,1553,1188,925
3060	856	1	430,565,572,1291
13318	1926	1	652,558,573,896
8933	767	1	511,554,728,748
8933	770	1	554,728,748,767
8933	840	1	728,748,767,770
8933	970	1	748,767,770,840
8933	972	1	767,770,840,970
8933	974	1	770,840,970,972
8933	1060	1	840,970,972,974
8933	1243	1	970,972,974,1060
8933	1268	1	972,974,1060,1243
8933	1679	1	974,1060,1243,1268
8933	1799	1	1060,1243,1268,1679
8933	3260	1	1243,1268,1679,1799
8933	3262	1	1268,1679,1799,3260
8933	3393	1	1679,1799,3260,3262
8933	3394	1	1799,3260,3262,3393
8933	3940	1	3260,3262,3393,3394
14461	3727	1	809,1682,1685,3677
5286	638	1	707,1063,1351,1665
6775	221	1	3296,869,3128,1154
8933	211	1	3262,3393,3394,3940
13727	1486	1	1553,1188,925,1242
1991	1406	1	1351,3063,528,1361
8999	556	1	969,972,1019,3394
13442	923	1	1532,495,327,922
5286	659	1	1063,1351,1665,638
8319	1421	1	713,715,823,1112
12194	919	1	3250,500,528,582
2385	857	1	1679,515,2059,3189
2872	839	1	972,571,758,570
2872	964	1	571,758,570,839
2872	1018	1	758,570,839,964
9666	482	1	1412,515,1410,837
1666	645	1	918,568,1655,626
9029	1702	1	746,166,639,969
9666	1411	1	515,1410,837,482
13599	1927	1	511,969,3394,840
14461	1112	1	1682,1685,3677,3727
3638	377	1	1804,1805,368,520
3638	492	1	1805,368,520,377
5985	498	1	3702,327,1292,532
5985	3371	1	327,1292,532,498
3050	3396	1	1380,3728,1178,3406
9754	648	1	472,630,631,638
9754	1557	1	630,631,638,648
5768	1655	1	3260,1243,1857,912
9754	461	1	631,638,648,1557
1596	1296	1	3052,524,525,1351
1596	1732	1	524,525,1351,1296
14461	1167	1	1685,3677,3727,1112
5768	1771	1	1243,1857,912,1655
13727	461	1	1188,925,1242,1486
12871	2776	1	675,4402,688,130
13727	602	1	925,1242,1486,461
6775	258	1	869,3128,1154,221
9014	649	1	1361,506,834,3681
10810	3305	1	500,766,3271,2212
14461	3275	1	3677,3727,1112,1167
4698	3178	1	1038,1101,3611,513
5985	334	1	1292,532,498,3371
8319	149	1	715,823,1112,1421
8319	387	1	823,1112,1421,149
1596	871	1	525,1351,1296,1732
1596	1117	1	1351,1296,1732,871
1596	1122	1	1296,1732,871,1117
8712	1205	1	367,1341,1288,1972
8137	373	1	870,896,3293,900
6775	260	1	3128,1154,221,258
8328	1737	1	1258,1257,3065,1664
8328	3062	1	1257,3065,1664,1737
5561	973	1	556,968,1258,972
6775	243	1	1154,221,258,260
13727	1772	1	1242,1486,461,602
2300	3727	1	777,3237,3332,3372
2286	1400	1	1341,1701,912,657
2300	214	1	3237,3332,3372,3727
2300	750	1	3332,3372,3727,214
2300	762	1	3372,3727,214,750
2300	767	1	3727,214,750,762
2300	779	1	214,750,762,767
2300	781	1	750,762,767,779
2300	782	1	762,767,779,781
2300	3355	1	767,779,781,782
2300	3400	1	779,781,782,3355
2300	3620	1	781,782,3355,3400
6775	241	1	221,258,260,243
2300	1893	1	782,3355,3400,3620
2300	1894	1	3355,3400,3620,1893
13727	340	1	1486,461,602,1772
13727	1167	1	461,602,1772,340
13727	1171	1	602,1772,340,1167
5434	3364	1	655,3378,3382,3399
2300	1950	1	3400,3620,1893,1894
6618	531	1	1499,1446,1685,1180
2286	322	1	1701,912,657,1400
3638	3237	1	368,520,377,492
11870	1736	1	1663,3052,3425,3485
6775	3127	1	258,260,243,241
2300	1939	1	3620,1893,1894,1950
2300	1979	1	1893,1894,1950,1939
3638	144	1	520,377,492,3237
9236	1045	1	3513,4536,608,11
14461	757	1	3727,1112,1167,3275
14461	777	1	1112,1167,3275,757
14461	1893	1	1167,3275,757,777
10118	1025	1	886,962,779,1285
14461	737	1	3275,757,777,1893
6618	630	1	1446,1685,1180,531
13727	909	1	1772,340,1167,1171
3552	1937	1	499,926,494,1245
12352	1334	1	1432,25,665,9
12352	1335	1	25,665,9,1334
13727	860	1	340,1167,1171,909
2906	565	1	3646,1701,3728,1362
13727	1949	1	1167,1171,909,860
11956	1602	1	515,3171,3355,630
6597	1979	1	1176,1894,1939,1949
9236	253	1	4536,608,11,1045
9236	268	1	608,11,1045,253
13727	1893	1	1171,909,860,1949
14461	1351	1	757,777,1893,737
4658	1349	1	3434,1809,1937,1979
2286	1424	1	912,657,1400,322
11706	3237	1	1199,1555,908,1584
3552	3940	1	926,494,1245,1937
13727	523	1	909,860,1949,1893
5634	502	1	520,503,915,3126
2286	1421	1	657,1400,322,1424
2286	1425	1	1400,322,1424,1421
13117	1497	1	3275,3388,727,1799
11136	3261	1	1074,635,1607,767
214	1808	1	509,923,1702,1784
3060	1700	1	565,572,1291,856
3638	375	1	377,492,3237,144
4131	1913	1	500,529,498,791
13727	497	1	860,1949,1893,523
2286	1407	1	322,1424,1421,1425
9065	258	1	528,3191,1154,882
3696	1349	1	1561,2212,1602,1603
3730	1173	1	1258,3406,1700,528
3730	1698	1	3406,1700,528,1173
13095	1351	1	320,408,529,887
13095	1361	1	408,529,887,1351
13095	1573	1	529,887,1351,1361
13095	1936	1	887,1351,1361,1573
13095	3191	1	1351,1361,1573,1936
13095	3533	1	1361,1573,1936,3191
4741	980	1	990,1001,883,981
8795	1144	1	824,826,1547,1121
13727	1894	1	1949,1893,523,497
700	3237	1	3201,3380,3384,692
3638	2170	1	492,3237,144,375
8795	604	1	826,1547,1121,1144
9666	1223	1	1410,837,482,1411
3638	1311	1	3237,144,375,2170
1924	1989	1	221,224,8069,331
3638	1305	1	144,375,2170,1311
35	321	1	1451,3940,1804,1913
35	1917	1	3940,1804,1913,321
6775	877	1	260,243,241,3127
9473	1003	1	517,837,589,607
147	439	1	785,574,1625,1772
35	3293	1	1804,1913,321,1917
13727	2390	1	1893,523,497,1894
13727	338	1	523,497,1894,2390
13727	2132	1	497,1894,2390,338
3844	2045	1	1592,3206,3625,3681
11136	554	1	635,1607,767,3261
3638	376	1	375,2170,1311,1305
3638	378	1	2170,1311,1305,376
10118	3556	1	962,779,1285,1025
13727	3377	1	1894,2390,338,2132
12871	163	1	4402,688,130,2776
14461	4957	1	777,1893,737,1351
9365	1700	1	1171,657,1849,757
2286	1201	1	1424,1421,1425,1407
2286	1221	1	1421,1425,1407,1201
2286	1417	1	1425,1407,1201,1221
2286	1418	1	1407,1201,1221,1417
13727	607	1	2390,338,2132,3377
2286	1402	1	1201,1221,1417,1418
438	2181	1	506,513,689,1605
710	2103	1	1026,1807,1808,1809
1666	1377	1	568,1655,626,645
6618	3335	1	1685,1180,531,630
8191	1553	1	3372,1355,1655,630
6618	40	1	1180,531,630,3335
4131	2132	1	529,498,791,1913
13727	1180	1	338,2132,3377,607
1868	1889	1	1259,917,307,1354
1740	1963	1	1890,672,685,996
1740	1964	1	672,685,996,1963
13599	556	1	969,3394,840,1927
899	630	1	605,1405,856,3364
899	917	1	1405,856,3364,630
899	1111	1	856,3364,630,917
6775	3529	1	243,241,3127,877
1596	589	1	1732,871,1117,1122
14461	232	1	1893,737,1351,4957
11136	1926	1	1607,767,3261,554
1121	1840	1	1355,1433,1331,1434
2286	741	1	1221,1417,1418,1402
5349	3189	1	623,1111,765,1455
6775	682	1	241,3127,877,3529
9106	3602	1	3275,126,708,1557
2300	1871	1	1894,1950,1939,1979
899	555	1	3364,630,917,1111
13727	1258	1	2132,3377,607,1180
2421	3380	1	773,3269,3271,3394
899	585	1	630,917,1111,555
899	599	1	917,1111,555,585
899	600	1	1111,555,585,599
899	1602	1	555,585,599,600
899	1603	1	585,599,600,1602
4095	627	1	1688,647,1146,1463
7385	697	1	3187,1350,358,696
7385	701	1	1350,358,696,697
899	609	1	599,600,1602,1603
899	3522	1	600,1602,1603,609
6775	693	1	3127,877,3529,682
14461	2091	1	737,1351,4957,232
9365	1946	1	657,1849,757,1700
6320	3430	1	1663,1736,2397,3257
6618	581	1	531,630,3335,40
2286	1408	1	1417,1418,1402,741
13263	857	1	3426,178,779,1527
13269	241	1	885,1378,881,863
35	856	1	1913,321,1917,3293
3564	1098	1	1948,439,440,1439
1740	691	1	685,996,1963,1964
12470	3299	1	131,708,3271,547
1991	3625	1	3063,528,1361,1406
10012	862	1	1128,1693,1898,3625
10012	2394	1	1693,1898,3625,862
13700	3216	1	1114,1113,3371,2091
2167	672	1	1177,3665,1322,74
2167	3374	1	3665,1322,74,672
4095	653	1	647,1146,1463,627
6775	708	1	877,3529,682,693
1991	1220	1	528,1361,1406,3625
12470	737	1	708,3271,547,3299
4814	757	1	1517,589,609,675
10118	1156	1	779,1285,1025,3556
35	1079	1	321,1917,3293,856
2286	1667	1	1418,1402,741,1408
3672	3528	1	219,3291,3669,3307
12528	447	1	423,441,552,424
3672	1152	1	3291,3669,3307,3528
12724	1351	1	643,1343,1261,2621
13599	1357	1	3394,840,1927,556
6417	2076	1	1553,1554,546,823
12180	3277	1	1353,1453,1775,1776
12180	3625	1	1453,1775,1776,3277
2286	1369	1	1402,741,1408,1667
13095	917	1	1573,1936,3191,3533
6775	1334	1	3529,682,693,708
6775	3543	1	682,693,708,1334
5634	322	1	503,915,3126,502
9365	319	1	1849,757,1700,1946
10032	1020	1	841,847,844,1149
1868	377	1	917,307,1354,1889
2167	1361	1	1322,74,672,3374
10599	1349	1	1347,1348,1698,3166
1868	376	1	307,1354,1889,377
1868	372	1	1354,1889,377,376
1868	378	1	1889,377,376,372
11999	3196	1	493,485,307,3194
35	919	1	1917,3293,856,1079
1991	3406	1	1361,1406,3625,1220
7414	1884	1	1258,1136,529,2122
13096	3268	1	1326,1317,1454,3309
13211	2379	1	904,3644,3529,1176
12470	2532	1	3271,547,3299,737
1868	365	1	377,376,372,378
2286	2491	1	741,1408,1667,1369
2906	1940	1	1701,3728,1362,565
6775	683	1	693,708,1334,3543
35	660	1	3293,856,1079,919
1868	476	1	376,372,378,365
8055	1459	1	1185,3517,3227,549
8055	2621	1	3517,3227,549,1459
1868	515	1	372,378,365,476
2286	2490	1	1408,1667,1369,2491
6826	2349	1	515,609,1347,2181
6775	3291	1	708,1334,3543,683
6775	2581	1	1334,3543,683,3291
8712	961	1	1341,1288,1972,1205
2906	1260	1	3728,1362,565,1940
4814	1095	1	589,609,675,757
4814	3209	1	609,675,757,1095
12470	679	1	547,3299,737,2532
3672	517	1	3669,3307,3528,1152
6419	2245	1	1286,1257,2268,2272
9365	2031	1	757,1700,1946,319
13727	2154	1	3377,607,1180,1258
2286	2493	1	1667,1369,2491,2490
10881	3426	1	866,1929,333,1301
6064	1962	1	3181,734,827,1398
6064	3417	1	734,827,1398,1962
10881	458	1	1929,333,1301,3426
12470	311	1	3299,737,2532,679
12470	835	1	737,2532,679,311
12470	3194	1	2532,679,311,835
12871	2541	1	688,130,2776,163
13095	1434	1	1936,3191,3533,917
13095	670	1	3191,3533,917,1434
13095	694	1	3533,917,1434,670
12871	827	1	130,2776,163,2541
3521	1937	1	1347,1349,1041,3567
3672	3285	1	3307,3528,1152,517
3672	3286	1	3528,1152,517,3285
6618	692	1	630,3335,40,581
3672	590	1	1152,517,3285,3286
3672	604	1	517,3285,3286,590
6618	1085	1	3335,40,581,692
6618	1099	1	40,581,692,1085
3672	409	1	3285,3286,590,604
7595	3144	1	705,349,598,708
357	2581	1	3189,3285,506,3191
7595	1584	1	349,598,708,3144
7595	3109	1	598,708,3144,1584
3672	2045	1	3286,590,604,409
6618	309	1	581,692,1085,1099
10738	3657	1	803,296,1241,811
14483	582	1	3272,1876,1180,1342
3707	984	1	2023,886,1023,1491
3707	1011	1	886,1023,1491,984
3707	1014	1	1023,1491,984,1011
5349	643	1	1111,765,1455,3189
5349	1295	1	765,1455,3189,643
2385	1950	1	515,2059,3189,857
1473	1936	1	3376,834,1570,3406
5542	1454	1	3373,1427,609,1506
14483	2288	1	1876,1180,1342,582
1519	2447	1	314,412,2076,2581
6618	688	1	692,1085,1099,309
6618	3631	1	1085,1099,309,688
7130	1068	1	634,822,3272,546
357	1154	1	3285,506,3191,2581
12585	1773	1	1580,3052,1579,3058
6775	2448	1	3543,683,3291,2581
1924	2634	1	224,8069,331,1989
5349	1966	1	1455,3189,643,1295
8328	2397	1	3065,1664,1737,3062
10810	3285	1	766,3271,2212,3305
13095	2634	1	917,1434,670,694
13095	2635	1	1434,670,694,2634
2385	1894	1	2059,3189,857,1950
2385	3193	1	3189,857,1950,1894
9365	1086	1	1700,1946,319,2031
2286	1406	1	1369,2491,2490,2493
2286	2630	1	2491,2490,2493,1406
5735	2581	1	3285,545,451,815
5735	2634	1	545,451,815,2581
5735	2635	1	451,815,2581,2634
9359	3442	1	757,77,1062,2219
1519	2635	1	412,2076,2581,2447
3707	2380	1	1491,984,1011,1014
4814	3522	1	675,757,1095,3209
6923	3118	1	1834,2634,2447,2448
8813	1017	1	1074,1949,511,556
8813	2091	1	1949,511,556,1017
8813	3377	1	511,556,1017,2091
6775	2447	1	683,3291,2581,2448
7545	3293	1	911,889,989,1809
5542	1177	1	1427,609,1506,1454
7537	2319	1	528,3187,3191,3405
7537	3193	1	3187,3191,3405,2319
9286	3111	1	1180,505,2634,2581
9244	2397	1	1736,1580,3052,3430
10582	2634	1	1178,2580,2448,3118
12263	2581	1	1434,252,2447,954
2286	1413	1	2490,2493,1406,2630
6893	3344	1	2023,2634,451,2635
7537	1833	1	3191,3405,2319,3193
3707	2378	1	984,1011,1014,2380
6219	2625	1	382,808,923,1665
6893	2185	1	2634,451,2635,3344
13319	589	1	1715,1717,1445,3627
3437	2115	1	494,917,1022,1409
3735	1800	1	3425,1414,1415,3016
8382	2543	1	1736,3031,3052,586
8382	2546	1	3031,3052,586,2543
8382	2563	1	3052,586,2543,2546
9666	1798	1	837,482,1411,1223
14483	1354	1	1180,1342,582,2288
3638	490	1	1311,1305,376,378
13269	2541	1	1378,881,863,241
167	2565	1	1069,2580,3105,2447
4658	1575	1	1809,1937,1979,1349
6923	2565	1	2634,2447,2448,3118
8382	2224	1	586,2543,2546,2563
8382	2561	1	2543,2546,2563,2224
1224	1483	1	804,806,809,811
1224	1937	1	806,809,811,1483
1224	3486	1	809,811,1483,1937
3735	3406	1	1414,1415,3016,1800
6893	1150	1	451,2635,3344,2185
10582	2565	1	2580,2448,3118,2634
11305	855	1	3269,3380,3426,3666
1224	914	1	811,1483,1937,3486
1224	1065	1	1483,1937,3486,914
1224	1085	1	1937,3486,914,1065
1224	2113	1	3486,914,1065,1085
2385	630	1	857,1950,1894,3193
1519	2565	1	2076,2581,2447,2635
2767	2565	1	2580,3118,1299,2190
2005	2565	1	2581,2634,3105,2635
5735	2565	1	815,2581,2634,2635
6183	3260	1	1285,965,639,550
214	1180	1	923,1702,1784,1808
1224	2045	1	914,1065,1085,2113
1224	1242	1	1065,1085,2113,2045
1224	3187	1	1085,2113,2045,1242
2286	1415	1	2493,1406,2630,1413
7318	2565	1	188,2634,3118,2581
13862	2565	1	992,859,498,2634
12494	1411	1	1079,2046,856,1298
1924	2565	1	8069,331,1989,2634
4982	2565	1	1154,545,260,4957
7414	2565	1	1136,529,2122,1884
67	2565	1	592,598,2634,2635
2385	2422	1	1950,1894,3193,630
2385	3190	1	1894,3193,630,2422
12263	829	1	252,2447,954,2581
7545	1154	1	889,989,1809,3293
12388	2565	1	3106,2634,2635,2581
13211	2633	1	3644,3529,1176,2379
6618	2565	1	1099,309,688,3631
7115	1298	1	1085,1093,1297,1732
9666	1418	1	482,1411,1223,1798
4519	2490	1	565,646,1782,2493
9365	2105	1	1946,319,2031,1086
10810	1808	1	3271,2212,3305,3285
3406	3528	1	591,1486,2532,334
2005	321	1	2634,3105,2635,2565
9365	1869	1	319,2031,1086,2105
9365	1870	1	2031,1086,2105,1869
9365	3359	1	1086,2105,1869,1870
10318	910	1	3265,536,3275,1507
12494	2228	1	2046,856,1298,1411
13211	1950	1	3529,1176,2379,2633
13536	2581	1	1340,412,3233,194
4814	3119	1	757,1095,3209,3522
1954	2736	1	3410,737,744,255
5349	1354	1	3189,643,1295,1966
6618	2736	1	309,688,3631,2565
7414	2736	1	529,2122,1884,2565
9365	1099	1	2105,1869,1870,3359
12263	2679	1	2447,954,2581,829
13862	2736	1	859,498,2634,2565
373	2736	1	764,785,1140,591
6533	2736	1	2634,2635,2581,2565
6893	2736	1	2635,3344,2185,1150
9604	2736	1	2580,2634,2635,2565
11133	2736	1	251,575,576,2096
13095	2736	1	670,694,2634,2635
14461	2736	1	1351,4957,232,2091
167	2736	1	2580,3105,2447,2565
1473	1218	1	834,1570,3406,1936
1626	2736	1	314,2634,2581,2565
1954	1150	1	737,744,255,2736
2005	2736	1	3105,2635,2565,321
3204	2736	1	2581,2634,2635,2565
4131	3589	1	498,791,1913,2132
14468	966	1	424,449,576,1939
14100	2736	1	2581,2447,2634,2565
14468	420	1	449,576,1939,966
14468	445	1	576,1939,966,420
14468	508	1	1939,966,420,445
14468	1180	1	966,420,445,508
14468	1245	1	420,445,508,1180
14468	1955	1	445,508,1180,1245
14468	2049	1	508,1180,1245,1955
14468	2440	1	1180,1245,1955,2049
14468	3368	1	1245,1955,2049,2440
14468	3398	1	1955,2049,2440,3368
38	2524	1	3168,564,616,2501
1924	2736	1	331,1989,2634,2565
2286	1900	1	1406,2630,1413,1415
2767	2736	1	3118,1299,2190,2565
13536	2679	1	412,3233,194,2581
1519	2736	1	2581,2447,2635,2565
3638	2096	1	1305,376,378,490
3638	2736	1	376,378,490,2096
10582	2736	1	2448,3118,2634,2565
13095	687	1	694,2634,2635,2736
13095	1023	1	2634,2635,2736,687
13095	1026	1	2635,2736,687,1023
13095	3406	1	2736,687,1023,1026
13454	3459	1	1654,1169,2115,911
1924	2679	1	1989,2634,2565,2736
3974	599	1	510,509,1216,1191
9286	2736	1	505,2634,2581,3111
10582	2679	1	3118,2634,2565,2736
117	2736	1	2580,2634,3111,2565
3437	1433	1	917,1022,1409,2115
5338	2736	1	2581,3110,3111,2565
8382	2147	1	2546,2563,2224,2561
12871	2736	1	2776,163,2541,827
14409	2736	1	2447,2581,2634,2635
10010	468	1	539,1936,3551,59
2056	2736	1	2448,3106,2565,2581
4741	2380	1	1001,883,981,980
7385	1528	1	358,696,697,701
12411	2736	1	3106,3110,3118,2581
13948	1171	1	38,2045,2046,3151
9365	1871	1	1869,1870,3359,1099
6923	2736	1	2447,2448,3118,2565
9359	3404	1	77,1062,2219,3442
4698	686	1	1101,3611,513,3178
7163	2736	1	2448,2634,2565,2679
10803	1355	1	3268,3380,1875,581
1493	910	1	972,1293,1290,1782
13536	2736	1	3233,194,2581,2679
455	2736	1	1575,2634,2635,2565
3249	748	1	912,566,965,968
4430	2122	1	223,546,1261,1428
4698	1917	1	3611,513,3178,686
9944	2736	1	2447,2581,3106,3111
10146	2736	1	6,18,545,163
10289	1069	1	2036,3674,3576,3402
1519	1798	1	2447,2635,2565,2736
7318	2736	1	2634,3118,2581,2565
10810	327	1	2212,3305,3285,1808
14553	3643	1	3272,3273,3368,3524
1519	1158	1	2635,2565,2736,1798
6993	2736	1	2635,3106,3110,2634
10171	2238	1	1531,225,2506,239
10171	3141	1	225,2506,239,2238
12263	2736	1	954,2581,829,2679
12782	2736	1	2581,2635,3111,2565
13727	986	1	607,1180,1258,2154
10171	599	1	2506,239,2238,3141
10171	3151	1	239,2238,3141,599
10171	3302	1	2238,3141,599,3151
12716	2736	1	2580,2581,2565,2679
10810	962	1	3305,3285,1808,327
1868	862	1	378,365,476,515
6893	1736	1	3344,2185,1150,2736
6893	3052	1	2185,1150,2736,1736
10171	3537	1	3141,599,3151,3302
10509	3596	1	447,423,445,2736
117	3596	1	2634,3111,2565,2736
2779	3597	1	1286,2565,2736,3596
3638	1143	1	378,490,2096,2736
7595	2679	1	708,3144,1584,3109
7595	3597	1	3144,1584,3109,2679
10171	2011	1	599,3151,3302,3537
12388	2679	1	2634,2635,2581,2565
12388	2819	1	2635,2581,2565,2679
373	2322	1	785,1140,591,2736
373	2323	1	1140,591,2736,2322
700	1952	1	3380,3384,692,3237
1141	2322	1	523,2581,2736,3305
1832	3596	1	2580,2581,2736,2323
3204	3596	1	2634,2635,2565,2736
13684	3596	1	900,451,2580,2736
1785	3596	1	2581,2634,2635,2565
1785	3597	1	2634,2635,2565,3596
6270	3596	1	2447,2565,2736,3579
9944	3579	1	2581,3106,3111,2736
10441	3579	1	2581,3110,2565,2736
11264	4773	1	2634,2581,2679,2736
13536	3597	1	194,2581,2679,2736
13684	3597	1	451,2580,2736,3596
14095	3597	1	2580,2635,2565,3596
14550	3596	1	3111,2581,2565,2736
1153	3596	1	3105,2581,2565,2736
1519	297	1	2565,2736,1798,1158
1626	3597	1	2634,2581,2565,2736
2286	2529	1	2630,1413,1415,1900
3437	1407	1	1022,1409,2115,1433
3650	3579	1	2634,2819,2679,2323
5455	3596	1	2634,2565,2635,2736
7186	2322	1	3550,2581,2565,2736
7186	3596	1	2581,2565,2736,2322
8568	3596	1	2580,2449,2565,2736
9604	3596	1	2634,2635,2565,2736
10582	3579	1	2634,2565,2736,2679
11133	2323	1	575,576,2096,2736
13263	1178	1	178,779,1527,857
14100	3597	1	2447,2634,2565,2736
14285	3579	1	2447,2581,2565,2736
